short_label,category_number,prompt_label,xml_prompt_label
Ocean acidification/coral impacts aren't serious,3_2_3,"The impact of ocean acidification on coral is exaggerated. The oceans are and have been alkaline in the past, yet coral has survived.","<3_2_3>The impact of ocean acidification on coral is exaggerated. The oceans are and have been alkaline in the past, yet coral has survived.</3_2_3>"
CO2 is beneficial/not a pollutant,3_3_0,CO2 is not a pollutant.,<3_3_0>CO2 is not a pollutant.</3_3_0>
CO2 is plant food,3_3_1,CO2 is plant food -- it helps plant growth.,<3_3_1>CO2 is plant food -- it helps plant growth.</3_3_1>
It's only a few degrees (or less),3_4_0,Human-caused climate change will only lead to a few degrees (or less) of warming and so no cause for alarm.,<3_4_0>Human-caused climate change will only lead to a few degrees (or less) of warming and so no cause for alarm.</3_4_0>
Climate change does not contribute to human conflict/threaten national security,3_5_0,Climate change does not lead to conflict and is not a national security threat.,<3_5_0>Climate change does not lead to conflict and is not a national security threat.</3_5_0>
Climate change doesn't negatively impact health,3_6_0,Climate change does not have negative impacts on human health.,<3_6_0>Climate change does not have negative impacts on human health.</3_6_0>
,4_0_0,Climate solutions are harmful or unnecessary,<4_0_0>Climate solutions are harmful or unnecessary</4_0_0>
Climate solutions are harmful,4_1_0,"Climate solutions are harmful to the economy, society, and/or the environment","<4_1_0>Climate solutions are harmful to the economy, society, and/or the environment</4_1_0>"
Solutions increases costs,4_1_1,"Climate solutions will increase costs, harm the economy, and/or kill jobs","<4_1_1>Climate solutions will increase costs, harm the economy, and/or kill jobs</4_1_1>"
Policy harms competitiveness,4_1_1_1,Climate policies will harm economic competitiveness,<4_1_1_1>Climate policies will harm economic competitiveness</4_1_1_1>
Policy harms vulnerable members of society,4_1_1_2,Climate policies will kill jobs and/or harm vulnerable members of society,<4_1_1_2>Climate policies will kill jobs and/or harm vulnerable members of society</4_1_1_2>
Climate-friendly alternatives are too expensive,4_1_1_3,Climate-friendly technologies and practices are too expensive and/or uneconomical,<4_1_1_3>Climate-friendly technologies and practices are too expensive and/or uneconomical</4_1_1_3>
Policy weakens security,4_1_2,"Climate policies will weaken national security, energy security, national sovereignty, and/or cause conflict","<4_1_2>Climate policies will weaken national security, energy security, national sovereignty, and/or cause conflict</4_1_2>"
Solutions harm environment,4_1_3,"Climate solutions will harm the environment, habitats, and/or species","<4_1_3>Climate solutions will harm the environment, habitats, and/or species</4_1_3>"
Policy harms environment,4_1_3_1,"Government climate policies will harm the environment, habitats, and/or species","<4_1_3_1>Government climate policies will harm the environment, habitats, and/or species</4_1_3_1>"
Climate-friendly alternatives harm environment,4_1_3_2,"Climate-friendly technologies/practices will harm the environment, habitats, and/or species","<4_1_3_2>Climate-friendly technologies/practices will harm the environment, habitats, and/or species</4_1_3_2>"
Policy creates uncertainty,4_1_4,Climate policies create economic uncertainty and may have unintended consequences,<4_1_4>Climate policies create economic uncertainty and may have unintended consequences</4_1_4>
Policy limits freedom,4_1_5,"Climate regulation limits individual liberty, freedom, and undermines capitalism. This includes but not limited to arguments that climate solutions are a justification for government overreach and control. Note that claims of a ""war on energy"" would fall into this category.","<4_1_5>Climate regulation limits individual liberty, freedom, and undermines capitalism. This includes but not limited to arguments that climate solutions are a justification for government overreach and control. Note that claims of a ""war on energy"" would fall into this category.</4_1_5>"
Climate solutions are ineffective,4_2_0,Climate solutions are ineffective and won't work.,<4_2_0>Climate solutions are ineffective and won't work.</4_2_0>
Green economy won't work,4_2_1,The promised benefits of green jobs won't be achieved in practice.,<4_2_1>The promised benefits of green jobs won't be achieved in practice.</4_2_1>
Policy impact is negligible,4_2_2,The impact of climate policies on climate change will be negligible and/or only make a difference in the distant future,<4_2_2>The impact of climate policies on climate change will be negligible and/or only make a difference in the distant future</4_2_2>
One country is negligible,4_2_3,A single country or region only contributes a small percentage of global emissions,<4_2_3>A single country or region only contributes a small percentage of global emissions</4_2_3>
Other countries' emissions,4_2_4,Climate action is pointless because of the emissions of other countries such as China or India,<4_2_4>Climate action is pointless because of the emissions of other countries such as China or India</4_2_4>
Policies can be manipulated,4_2_6,Climate policy can be gamed or manipulated.,<4_2_6>Climate policy can be gamed or manipulated.</4_2_6>
Climate-friendly alternatives are ineffective,4_2_7,Climate-friendly technologies and practices are ineffective and won't work.,<4_2_7>Climate-friendly technologies and practices are ineffective and won't work.</4_2_7>
Not ready,4_2_7_1,Climate-friendly technologies are not ready,<4_2_7_1>Climate-friendly technologies are not ready</4_2_7_1>
Not enough,4_2_7_2,Renewable energy cannot provide base-load power and is difficult to scale,<4_2_7_2>Renewable energy cannot provide base-load power and is difficult to scale</4_2_7_2>
Markets are more efficient,4_2_8,Markets and private sector are economically more efficient than government policies at solving climate change,<4_2_8>Markets and private sector are economically more efficient than government policies at solving climate change</4_2_8>
Individuals are responsible,4_2_9,Individuals/consumers are responsible for climate change and should change their behaviour to solve it,<4_2_9>Individuals/consumers are responsible for climate change and should change their behaviour to solve it</4_2_9>
"Future generations, technologies, and efficiencies will solve it",4_2_10,"Future generations, technologies, and efficiencies will solve it","<4_2_10>Future generations, technologies, and efficiencies will solve it</4_2_10>"
Future generations will fix it,4_2_10_1,Future generations will be richer and will be better able to solve climate change,<4_2_10_1>Future generations will be richer and will be better able to solve climate change</4_2_10_1>
Technology will fix it,4_2_10_2,"Future technology will fix climate change, so we shoudn't worry too much.","<4_2_10_2>Future technology will fix climate change, so we shoudn't worry too much.</4_2_10_2>"
Adaptation is the solution,4_2_11,It's better to adapt to climate change and increase resiliency then to devote resources to mitigation.,<4_2_11>It's better to adapt to climate change and increase resiliency then to devote resources to mitigation.</4_2_11>
Energy efficiency is enough,4_2_12,Increasing energy efficiency is enough to meet the challenges of climate change.,<4_2_12>Increasing energy efficiency is enough to meet the challenges of climate change.</4_2_12>
Removing CO2 is the solution,4_2_13,We should focus on carbon dioxide removal rather than emissions reductions,<4_2_13>We should focus on carbon dioxide removal rather than emissions reductions</4_2_13>
Other issues are more pressing,4_2_14,There are more pressing problems than climate change and we should address those first,<4_2_14>There are more pressing problems than climate change and we should address those first</4_2_14>
Cheaper to mitigate abroad,4_2_15,"It's cheaper to mitigate climate change abroad, so we are better off focusing on helping other countries reduce their emissions","<4_2_15>It's cheaper to mitigate climate change abroad, so we are better off focusing on helping other countries reduce their emissions</4_2_15>"
Solving climate change is too difficult,4_3_0,It's too hard to solve climate change and so we shouldn't try,<4_3_0>It's too hard to solve climate change and so we shouldn't try</4_3_0>
We're not ready for policy,4_3_1,We don't have the right policy to solve climate change and/or need to better understand all the implications before implementing climate policies,<4_3_1>We don't have the right policy to solve climate change and/or need to better understand all the implications before implementing climate policies</4_3_1>
It's too late to fix it,4_3_2,It's too late to do anything to mitigate climate change,<4_3_2>It's too late to do anything to mitigate climate change</4_3_2>
Low support,4_3_3,Support for climate solutions is low and/or decreasing,<4_3_3>Support for climate solutions is low and/or decreasing</4_3_3>
No need for more action,4_4_0,We have already made a lot of progress on climate change and don't need to do anything else.,<4_4_0>We have already made a lot of progress on climate change and don't need to do anything else.</4_4_0>
Already taking it seriously,4_4_1,"We are already taking climate change seriously, so there is no need to worry","<4_4_1>We are already taking climate change seriously, so there is no need to worry</4_4_1>"
Already doing enough,4_4_2,"We are already doing enough to address climate change, so there is no need for more action","<4_4_2>We are already doing enough to address climate change, so there is no need for more action</4_4_2>"
Already doing good,4_4_3,We are already contributing enough to the societal good we don't need to also address climate change issues,<4_4_3>We are already contributing enough to the societal good we don't need to also address climate change issues</4_4_3>
"Climate-related science is uncertain/unsound/unreliable (data, methods & models)",5_0_0,"Climate science is uncertain, unsound, unreliable, or biased.","<5_0_0>Climate science is uncertain, unsound, unreliable, or biased.</5_0_0>"
There's no scientific consensus on climate/the science isn't settled,5_1_0,There is no scientific consensus on climate change. Scientists continue to disagree on many aspects of climate change and the science is not settled. This includes arguments that the science isn't settled or isn't there.,<5_1_0>There is no scientific consensus on climate change. Scientists continue to disagree on many aspects of climate change and the science is not settled. This includes arguments that the science isn't settled or isn't there.</5_1_0>
Proxy data is unreliable (includes hockey stick),5_2_0,"Proxy climate data from things such as ice cores, tree rings boreholes, etc., are unreliable. This includes ""hockey stick"" graph.","<5_2_0>Proxy climate data from things such as ice cores, tree rings boreholes, etc., are unreliable. This includes ""hockey stick"" graph.</5_2_0>"
Temperature record is unreliable,5_3_0,Temperature data is unreliable and/or biased.,<5_3_0>Temperature data is unreliable and/or biased.</5_3_0>
Models are wrong/unreliable/uncertain,5_4_0,"Climate models are flawed, unreliable, or uncertain.","<5_4_0>Climate models are flawed, unreliable, or uncertain.</5_4_0>"
,6_0_0,"Climate scientists and proponents of climate action are alarmist, biased, wrong, hypocritical, corrupt, and/or politically motivated.","<6_0_0>Climate scientists and proponents of climate action are alarmist, biased, wrong, hypocritical, corrupt, and/or politically motivated.</6_0_0>"
Climate movement is alarmist/wrong/political/biased/hypocritical (people or groups),6_1_0,"Climate change proponents are alarmist, biased, wrong, hypocritical, and/or politically motivated.","<6_1_0>Climate change proponents are alarmist, biased, wrong, hypocritical, and/or politically motivated.</6_1_0>"
Climate movement is religion,6_1_1,Climate changes is a religion.,<6_1_1>Climate changes is a religion.</6_1_1>
Media (includes bloggers) is alarmist/wrong/political/biased,6_1_2,"Media reports on climate change are alarmist, biased, and/or wrong.","<6_1_2>Media reports on climate change are alarmist, biased, and/or wrong.</6_1_2>"
Politicians/government/UN are alarmist/wrong/political/biased,6_1_3,"Politicians, governments, and organizations such as the UN are alarmist, biased, and/or wrong on climate change.","<6_1_3>Politicians, governments, and organizations such as the UN are alarmist, biased, and/or wrong on climate change.</6_1_3>"
Environmentalists are alarmist/wrong/political/biased,6_1_4,"Environmentalists are alarmist, biased, and/or wrong on climate change.","<6_1_4>Environmentalists are alarmist, biased, and/or wrong on climate change.</6_1_4>"
Scientists/academics are alarmist/wrong/political/biased,6_1_5,"Scientists and academics are alarmist, biased, and/or wrong on climate change.","<6_1_5>Scientists and academics are alarmist, biased, and/or wrong on climate change.</6_1_5>"
Climate change (science or policy) is a conspiracy (deception),6_2_0,"Climate change is a hoax or conspiracy. We have been deceived by climate scientists, politicians, bureaucrats, and environmental organizations on climate change.","<6_2_0>Climate change is a hoax or conspiracy. We have been deceived by climate scientists, politicians, bureaucrats, and environmental organizations on climate change.</6_2_0>"
Climate change (science or policy) is a conspiracy (deception),6_2_0,"Climate change is a hoax or conspiracy. We have been deceived by climate scientists, politicians, bureaucrats, and environmental organizations on climate change.","<6_2_0>Climate change is a hoax or conspiracy. We have been deceived by climate scientists, politicians, bureaucrats, and environmental organizations on climate change.</6_2_0>"
Climate change (science or policy) is a conspiracy (deception),6_2_0,"Climate change is a hoax or conspiracy. We have been deceived by climate scientists, politicians, bureaucrats, and environmental organizations on climate change.","<6_2_0>Climate change is a hoax or conspiracy. We have been deceived by climate scientists, politicians, bureaucrats, and environmental organizations on climate change.</6_2_0>"
We need fossil fuels,7_0_0,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living.","<7_0_0>We need fossil fuels for economic growth, prosperity, and to maintain our standard of living.</7_0_0>"
Fossil fuels are plentiful,7_1_0,Fossil fuels are plentiful and should be used. This includes arguments that explicitly focus on large domestic fossil fuel reserves or an abundance of potential fossil fuel resources.,<7_1_0>Fossil fuels are plentiful and should be used. This includes arguments that explicitly focus on large domestic fossil fuel reserves or an abundance of potential fossil fuel resources.</7_1_0>
Fossil fuels are good,7_2_0,"Fossil fuels are good for the economy, society, and/or the environment.","<7_2_0>Fossil fuels are good for the economy, society, and/or the environment.</7_2_0>"
Good for economic growth,7_2_1,Fossil fuels are important for economic growth and development. Only assign when text explicitly links fossil fuels to economic growth/development.,<7_2_1>Fossil fuels are important for economic growth and development. Only assign when text explicitly links fossil fuels to economic growth/development.</7_2_1>
Good for energy security,7_2_2,Fossil fuel extraction is important for energy security. Assign when text emphasizes the importance of fossil fuels for domestic security or energy independence.,<7_2_2>Fossil fuel extraction is important for energy security. Assign when text emphasizes the importance of fossil fuels for domestic security or energy independence.</7_2_2>
Our fossil fuels are clean,7_2_3,Our fossil fuels are cleaner than others,<7_2_3>Our fossil fuels are cleaner than others</7_2_3>
Fossil fuels are part of the solution,7_2_4,Fossil fuels are part of the solution. We need to transition to cleaner fossil fuels.,<7_2_4>Fossil fuels are part of the solution. We need to transition to cleaner fossil fuels.</7_2_4>
Fossil fuels are necessary,7_3_0,"Fossil fuels are necessary to meet energy demand. This includes, but not limited to, arguments that we need all forms of energy, including fossil fuels.","<7_3_0>Fossil fuels are necessary to meet energy demand. This includes, but not limited to, arguments that we need all forms of energy, including fossil fuels.</7_3_0>"
We have the right to use them,7_4_0,We have a right to profit from fossil fuels just like others have,<7_4_0>We have a right to profit from fossil fuels just like others have</7_4_0>
No Claim detected,0_0_0,No relevant claim detected,<0_0_0>No relevant claim detected</0_0_0>
