text,true_claims
"Using airborne radars flown during NASAs Operation IceBridge, Koenig and her colleagues were surprised to see the signature of liquid water under snow. They now report these buried lakes are common and extensive on the western margins of the Greenland Ice Sheet. The volume of water retained in buried lakes is small compared with the total mass of water melting from the ice sheet every year, but the lakes can warm the ice and prime the system for melt in spring and summer.",['0_0_0']
"Carbon dioxide, a trace gas absolutely essential for human and other life, is currently four one-hundredths of 1 percent of the atmosphere.","['2_3_1,', '3_3_0']"
"Since ACO2 cannot be distinguished from natural CO2 the amount of ACO2 accumulating and contributing to the increase in CO2 is 3.67% of 1.5% which is 0.055%; a miniscule amount. So, even if CO2 did have a warming effect, as AGW predicts, the anthropogenic contribution to this warming would be negligible.",['2_3_6']
There isn't any doubt in the scientific community that the temperature increase associated with an interglacial period precedes an increase in carbon dioxide concentrations.,['2_3_3']
Greenlands surface gained mass yesterday for the first time this summer. The net surface gain over the past year has been 300 billion tons,['1_1_2']
"Like Penny Wong before him, Minister Combet has been captured by the self-seeking, alarmist global warming rhetoric of the United Nations IPCC and its supporters. Surely the Government should conduct an inquiry before acting on such impaired advice, yet the advice stands unaudited? There are no checks and balances, and no formal oversight. ",['6_1_3']
"And if you STILL don't see how this demonstrates the greenhouse effect, imagine what would happen if you suddenly removed all of that atmosphere and clouds: there would be a sudden increase in the rate of net IR flow from the surface of the Earth to outer space, and temperatures would drop. THAT is the greenhouse effect.",['0_0_0']
The planet is warming due to increased concentrations of heat-trapping gases in our atmosphere. A snowy winter in Washington does not alter this fact.,['0_0_0']
"Between 30 and 65 percent of the ice gain due toenhanced snowfall in Antarctica is countervailed by enhanced iceloss along the coastline, says lead-author Ricarda Winkelmann.",['0_0_0']
"This means climate change places equatorial marine species most at risk, as oceans are projected to warm by two to three degrees Celsius by the end of this century.",['0_0_0']
The recently released paper by Steig et al (2009) Warming of the Antarctic ice-sheet surface since the 1957 International Geophysical Year generated a lot of buzz on the climate blogs today.,['0_0_0']
"Furthermore, we're nowhere near the peak reached by the interglacial of 125,000 years ago, when temperatures were 1-3C higher than today and sea levels up to 20 feet higher, according to the Intergovernmental Panel  on Climate Change itself. In other words, the Globe might as well have  had a headline reading Signs of changing weather unmistakable.",['2_1_4']
"I say let's forget this legislation, let's get busy doing things that 
will work. I and the American people are fed up with a dependence on 
foreign oil and the resulting high prices driven by the OPEC cartel 
that meets to decide how much they want to tax the American economy. 
They want to fight back. They are willing to take strong action now. 
But they are not understanding what this bill does. They do not expect 
the Congress to pass a bill that is going to cause them to pay even 
higher prices; that is going to create a huge bureaucracy with more 
regulations, lawsuits, lobbyists, and trillions of new taxes going to 
people who are not accountable to the American people--and they should 
not.","['4_1_1', '4_1_5']"
The Russian cutoff of natural gas to Europe was also a reminder of the geopolitical risk of discouraging domestic coal under cap and trade.,"['7_2_2,', '4_1_2']"
"We will certainly tend to import refined product from countries who do not have caps on emissions, so we will see leakage, not only of the jobs, but of the carbon emissions, and have less energy security.","['4_1_1_1,', '4_1_2']"
"America needs to embrace a true energy policy that supports every 
type, from natural gas, oil drilling, nuclear, hydroelectric, and the 
other renewables. We cannot simply declare that some methods of power 
generation are off limits like the Biden administration and others have 
been trying to do to natural gas and oil.","['7_2_0', '7_3_0']"
"In attendance at the press conference was a journalist from Die Zeit, who, never having read the book, immediately attacked the two authors and their message. The good news that there was lots of science emerging showing no coming climate catastrophe was just too upsetting for him to handle. Just think about that.","['6_1_2,', '3_0_0']"
Arctic melting is a good thing. The alternative would be a real problem.,['3_0_0']
"This week, after reviewing his own new data, NASA climate scientist Jay Zwally said: At this rate, the Arctic Ocean could be nearly ice-free at the end of summer by 2012, much faster than previous predictions.",['0_0_0']
"In its 2001 report on global climate, the Intergovernmental Panel on Climate Change of the United Nations prominently featured the Hockey Stick, a chart showing global temperature data over the past one thousand years. The Hockey Stick demonstrated that temperature had risen with the increase in industrialization and use of fossil fuels. The inescapable conclusion was that worldwide human activity since the industrial age had raised CO2 levels, trapping greenhouse gases in the atmosphere and warming the planet.",['0_0_0']
"*We probably don't agree on what has caused the warming up to now, but it seemed that Prof Lockwood and Svensmark actually agreed it was not due to solar changes, because although they disagreed on how much of the variability in the climate records is solar, they both showed solar records without a rising trend in the late 20th century.",['0_0_0']
"A study published in Science reconstructs global temperatures further back than ever before a full 11,300 years. The new analysis finds that the only problem with Manns hockey stick was that its handle was about 9,000 years too short. The rate of warming over the last 100 yearshasntbeen seen for as far back as the advent of agriculture .",['0_0_0']
"Climate change is an engineering problem--not social engineering but 
the real kind. It is a challenge of creativity, ingenuity, and most of 
all, technical innovation. Problems of human imagination are not solved 
by more laws; they are solved by more humans, more people, meaning 
bigger markets for innovation. More babies will mean more forward-
looking adults, the sort we need to tackle long-term, large-scale 
problems.","['4_2_10_2', '4_2_8']"
"By 2100, the BAU projected rise is 37.1cm and the Kerry-Lieberman rise is 36.0cm. At century's end sea level rise savings of 1.1cm, or 0.43 inches. Too small to be of consequence.",['4_2_2']
Many countries are unwilling to sign a treaty when greenhouse gas emission reductions cannot be independently verified.,['4_2_6']
"In the Arctic, climate change is happening at an accelerated pace,' Pratt said. 'A big question is what will happen to atmospheric composition in the Arctic as the temperatures rise and snow and ice decline even further'",['0_0_0']
"Even at the very high end of the UN's estimates of CO2's warming potential, replacing 4.7 with 5.7 as our coefficient in the ""global warming"" equation, we still won't expect warming of much more than a quarter of a Celsius degree, or a fraction over half a Fahrenheit degree.",['3_4_0']
"Wrong. The British Antarctic Survey, working with NASA, last week confirmed ice around Antarctica has grown 100,000 sq km each decade for the past 30 years",['1_1_1']
"According to NASAs top climate scientist, the oceans are gaining heat (due to man made global warming) at a rate of 400,000 A-Bombs per day. He also tells us that the warmer water causes more frequent and powerful hurricanes.",['0_0_0']
This sequestration of CO2 by living things is far more important than trivial additions to the atmosphere caused by human activity.,['2_3_6']
"I'm dreaming of a white...climate change protest. As you might have seen on the Drudge Report, a demonstration in support of cap-and-trade legislation in Annapolis ended up covered in chilly snow yesterday. Where's your global warming, now?",['1_3_0']
"By investing in energy-efficient appliances, buildings, and transportation, we can meet climate goals without disrupting our daily lives or imposing strict regulations.",['4_2_12']
Leaked United Nations report reveals the world's temperature hasn't risen for the last 15 years.,['1_4_0']
Climates always change -- why are we so worried?,['2_1_4']
"Now, there's a lot of creative things. But they are little niche players. They are little niche markets. They are not huge volumes. So it is important that Americans understand that whether we like it or not, fossil fuels are going to be our major energy source a lot longer than we want them. If we continue to not produce our own, then we are going to have to buy them from foreign countries.","['7_3_0,', '7_2_2']"
"To paraphrase Gavin Schmidt, the individual ensemble members contain random noise that is inherent in each model. That noise limits the value of each individual ensemble member. The model mean, through averaging, minimizes model noise, revealing the forced component. In other words, the model mean is the best-guess approximation of the modelers assumptions about how climate on Earth is supposed to respond to human-induced global warming.",['0_0_0']
"It turns out that the belief in a sensitive climate is not because of the observational evidence, but in spite of it.  There is considerable evidence for low climate sensitivity.",['3_1_0']
The six scientists report their study found that the offspring of female turtles nesting on the naturally hot (black sand) beach survived better and grew larger at hot incubation temperatures compared with the offspring of females nesting on the cooler (pale sand) beach,['3_2_1']
"Well, I think it is manmade. I think its clearly manmade. And, look, this probably explains the biggest fundamental difference between John McCain and Barack Obama and Sarah Palin and Joe Biden Governor Palin and Joe Biden. If you dont understand what the cause is, its virtually impossible to come up with a solution. We know what the cause is. The cause is manmade. Thats the cause. Thats why the polar icecap is melting. Now, lets look at the facts. We have 3 percent of the worlds oil reserves. We consume 25 percent of the oil in the world.",['0_0_0']
We have at least 25 years to research this issue before CO2 emission cuts need to be considered.,['4_2_10']
"For example, in the new report, the IPCC says it is extremely likely 95 per cent certain that human influence caused more than half the temperature rises from 1951 to 2010, up from very confident 90 per cent certain in 2007.",['0_0_0']
"The strong relationship between global temperature and CO2, documented by ice-core studies, makes scientific sense only if the CO2 is the effect rather than the cause.",['2_3_3']
"One way that we can do this is by bringing clean energy manufacturing 
jobs to our State. My clean energy jobs bill does just that, by 
transforming our State's abundant wind, sun, and geothermal energy into 
good-paying jobs that can't be shipped overseas. It does this by 
getting our priorities lined up with our values.",['0_0_0']
There’s no clear evidence linking climate change to melting glaciers or thawing permafrost.,['1_1_0']
MSNBC host Chris Hayes : The scientific consensus is that human civilization cannot survive in any recognizable form a temperature increase this century more than 2 degrees Celsius.,['0_0_0']
"First it was birds and now it is bees that are finding their numbers under increasing pressure from sources as diverse as habitat loss, insecticide use and changing weather patterns.",['0_0_0']
"Then, in the late 19th century, the graph shows temperatures shooting up, driven by humanity's greenhouse gas emissions.",['0_0_0']
"In the U.S., discussions from advocates for action on climate change usually begin with the premise that the U.S. is “behind” or “not taking action” to reduce CO2 emissions. The reality is that such concerns about the U.S. are misplaced – and were misplaced long before the passage of the Infrastructure Investment and Jobs Act (IIJA) and the Inflation Reduction Act (IRA) – recent legislation touted as historic action on climate.",['4_4_2']
"Rapid loss of ice-mass from glacers are cited as proof positive of global warming's onslaught. The latest measurements, however, suggest significantly smaller overall ice-mass losses than previous estimates.",['1_1_4']
There is strong psychological evidence that alarmist fears of climate change are far more the result of groupthink and the group polarization process than scientific evidence.,['6_1_0']
"Climate change has long been thought to be the main culprit in coral degradation. The report shows that  the loss of parrotfish and sea urchin the areas two main grazers has, in fact, been the key driver of coral decline in the region . ",['3_2_3']
Thirty-five percent of Americans say there is not enough solid evidence to suggest mankind is warming the earth while another 18 percent says the world has warmed due to natural patterns and not human activity.,"['5_0_0,', '2_1_0']"
"But the phrase ocean acidification has led many to believe — as that CNN story headline implies — that the oceans are acidic. They are not, nor are they likely to become acidic.",['3_2_3']
In 1990 the IPCC predicted on its business-as-usual Scenario A that from the Industrial Revolution till the present there would have been 4 Watts per square meter of radiative forcing caused by Man (Fig. T7):,['0_0_0']
"When one cuts through EPAs propaganda, the health benefits the Agency touts are virtually nonexistent.  In reality, Utility MACT is designed to kill coal.  As EPA admits, this extension of Obamas cap-and-trade agenda will cost American families up to $11 billion in electricity rate increases (over 11 percent increase, on average), and destroy up to 1.4 million jobs.","['4_1_1,', '4_1_2']"
A record-high 41% now say that global warming is exaggerated. This represents the highest level of public skepticism about mainstream reporting on global warming seen in more than a decade of Gallup polling on the subject.,['6_1_2']
"Contrary to Smiths assertions, there is conclusive evidence that climate change worsened the damage caused by Superstorm Sandy . Sea levels in New York City harbors have risen by more than a foot since the beginning of the 20th century. Had the storm surge not been riding on higher seas, there would have been less flooding and less damage. Warmer air also allows storms such as Sandy to hold more moisture and dump more rainfall, exacerbating flooding.",['0_0_0']
"Why is Water Vapour, the Most Important Greenhouse Gas, Ignored?",['2_3_4']
"More importantly, climate models suffer from the limitations of current scientific understanding of the forces that determine weather patterns and climate change. Climate modelers cannot avoid making assumptions about the operation and effects of such key variables as water vapor, clouds, ocean-atmosphere interaction, solar cycles, ocean currents, and the natural carbon cycle. Those assumptions are fraught with uncertainties and may be little better than educated guesses. It is not surprising, therefore, that the models have been notoriously poor at replicating current and past climate.",['5_4_0']
"The adjustments do seem to be very aggressive in identifying any effects that might have artificially created a cooling trendbut lax in finding and correcting effects that mighthave artificially created a warming trend. First and foremost, the changing urban heat island effect in growing cities seems to be under-corrected (Again there is debate on this -- the proprietors of the model believe they have fixed this with a geographic normalizing, correcting biases from nearby thermometers. I and others believe all they are doing is mathematically smearing the error over a larger geography).",['5_3_0']
"According to theUniversity of Nebraska-Lincolns National Drought Mitigation Center, western and central parts of the state experienced the worst conditions . Droughts in these areas were categorized as Extreme and Exceptional.",['0_0_0']
"The team found that, at the current rate that atmospheric carbon dioxide is increasing, such extreme events are likely to occur more frequently, Goddard said.",['0_0_0']
"Emissions of greenhouse gases have grown dramatically over the past two centuries, as have concentrations of CO2 in the atmosphere",['0_0_0']
"Reporters Notes: Redesigning the Bay The most recent estimate looks pretty dire. The Bay Conservation and Development Commission (BCDC), a state planning agency, says it expects San Francisco Bay to rise about 16 inches by 2050, and 55 inches by the end of the century. Recent Climate Change - Sea Level Changes ...sea level has risen worldwide approximately 4.8-8.8 inches (12-22 cm) during the last century (IPCC, 2007).",['0_0_0']
EPA Administrator Gina McCarthy admitted that the new regulations are unlikely to have measurable impact on world climate.,['4_2_2']
Global warming became climate change so as to be able to take the blame for cold spells and wet seasons as well as hot days.,['1_8_0']
"Even if zero emissions of greenhouse gases were to be achieved, the worlds temperature would continue to rise by about a quarter of a degree over a decade. Thats a best-case scenario.","['4_2_0,', '4_3_0']"
"Solving climate change requires global cooperation and unprecedented economic restructuring, which just isn’t realistic given the diverse interests of different countries and industries. ",['4_3_1']
Carbon capture is the real game-changer we need to reverse climate change. Let’s focus on scalable solutions that remove CO₂! #CarbonCapture,['4_2_13']
"As I pointed out earlier there are many uncertainties associated with adopting carbon caps, including the fact that the targets will continually tighten. If we go down that path, it's going to be very hard to get off of it.",['4_1_4']
"More important, the ""hottest year"" rhetoric is based on the surface temperature record, a collection of data that is deeply problematic, with heat-island effects difficult to expunge from the data, poor placement and shifts in the measurement stations, etc. ",['5_3_0']
These diving instruments suggest that the oceans have not warmed up at all over the past four or five years. That could mean global warming has taken a breather.,"['1_5_0,', '1_4_0']"
"The number of bears along the western shore of Hudson Bay, believed to be among the most threatened bear subpopulations, stands at 1,013 and could be even higher, according to the results of an aerial survey released Wednesday by the Government of Nunavut.",['3_2_2']
"If you look at the temperature of the Earth, we have to measure the oceans, the air and the land. And there, we see a continually strong rise in temperature.",['0_0_0']
"However, the main gases of the atmosphere are oxygen and nitrogen, non-greenhouse gases, and they are also excellent insulators against the conduction of heat (like a blanket); adding additional trace amounts of carbon dioxide will have no appreciable impact on the insulating properties of the atmosphere.",['2_3_1']
Making the ignorance and arrogance of the Administration all the more absurd are the repeated claims that the plan will save the consumers money  as if major urban black-outs can be labeled as money saving opportunities.,['4_1_1']
Continue with the high economic growth (and hence emission growth) strategy and invest in more accurately identifying the nature and extent of climate change.,['4_3_1']
"Wow. It is amazing that the discussion of how trace atmospheric gasses might affect global temperature, and whether the climactic reaction to this is one of positive or negative feedback, has become a moral rather than a scientific question.","['2_3_1,', '6_1_1']"
"And the tragedy is if we were allowed to produce, if this Congress 
would stop locking up the Outer Continental Shelf, if they would open 
up the reserves in the Midwest which some of them are taking off in the 
energy bill, we could have adequate natural gas in this country; the 
price could be affordable; Americans could be warm; and, the very best 
jobs in America like petrochemical and polymers and plastic and 
fertilizer and glass and steel plants and bricks could be made in 
America, and middle-class working Americans could continue to have the 
jobs that have historically allowed them to live a quality of life and 
raise their families.","['7_3_0', '7_1_0', '7_2_1', '4_1_1_2']"
"Water vapor, thanks to the sheer quantity of it in the atmosphere, is the most important of the greenhouse gases, accounting for 65-85% of the natural greenhouse effect without which the Earth would be an ice planet.",['2_3_4']
Let the market decide how to generate more power efficiently.,['4_2_8']
"Exploiting these underground resources, though, will mean a lot of noisy, water-intensive and potentially harmful fracking, or hydraulic fracturing, the process of shooting chemical solutions mixed with sand into the shale to prize it open and release the gas. Its a controversial practice: Concern about ill effects such as groundwater contamination has led to a ban on fracking in countries such as France and Bulgaria and in the state of Vermont.",['0_0_0']
"Global warming is a new religion and blasphemy against that religion is not a laughing matter, Lord Lawson has said, adding that there is a great gap in Europe with the decline of any real belief in Marxism and any real belief in Christianity. This has filled the vacuum.",['6_1_1']
This means that we should prioritize adaptation over mitigation strategies as we may deny the right to affordable energy desperately needed.,"['4_2_11,', '4_3_2']"
"What we really need to have in this country in this time of very 
severe economic turmoil when people are losing their jobs and the 
economy is suffering is we need to be looking at producing more 
domestic sources of energy of all kinds. And yet this legislation is 
going to discourage the production of most of the principal sources of 
energy that we utilize in our country today, including coal production 
and nuclear power.","['7_1_0', '4_1_1']"
"Steig says that surface temperatures are reliable, yet GISS has massively altered them over the past decade. In fact, GISS has nearly doubled reported 1880 to 2000 warming since their 2003 version. They have altered the data so much, they had to stretch the scale at both ends to fit their alterations on to the graph. This is not reliable data.",['5_3_0']
"Scientists have only begun assessments, with dive teams looking for 'bleaching' that is a telltale indicator of temperature stress in sensitive corals, but initial reports are bleak. The impact could extend from Key Largo through the Dry Tortugas west of Key West, a vast expanse that covers some of the prettiest and healthiest reefs in North America.",['0_0_0']
"The classic demonstration for this involves adding CO2 to the air in only one of a pair of similar, closed, containers; exposing both to a radiant heat source until the containers reach equilibrium with the surrounding atmosphere; and then comparing one or both of the internal temperature and/or duration of the cool down period for the two. Do it, and you'll find that the one containing some additional CO2 retains more heat and the claim is that this demonstrates the greenhouse effect.",['0_0_0']
"I would just like to say that climate change is obviously, as we all recognize, a global problem and there will be many ways to approach emission reductions and alterative technologies. But we have to keep in mind climate change is not the world's worst problem. There are many others, as obviously the Copenhagen Consensus came up with. Governments have need for strong economic growth to fund a variety of programs, not the least of which is fighting terrorism, I think.","['4_2_14,', '4_1_1']"
So Global Warming causes droughts up until a week ago. No doubt they are  working on a paper that proves that Global Warming can cause a flood now and then. A peer reviewed article in Nature will appear soon. Data freely available on request except of course to anyone who has dealings with CA. Thats the way science is done after all.,"['1_7_0,', '6_1_5']"
"Since the discovery and generation of energy with coal, oil, and natural gas, generations have lived lives not only different from all who preceded them, but better in so many ways, not the least of which is extended life expectancy. Nations with energy are places where people live longer, healthier lives. They are also wealthier nations where the energy translates into industry, jobs, transportation, and all the other attributes of modern life.","['7_2_1,', '7_3_0']"
Temperatures in the interior of Greenland have gotten nowhere near the melting point this summer.,['1_1_2']
"A book of academic essays just published by Cambridge University Press on the United States, concludes that the moderate amount of global warming now predicted will produce more benefits than costs.",['3_0_0']
"Man-made sources have increased global levels of CO2, however scientific analysis shows part of the increase is natural and no one is certain how much or little of this rise is man-made.",['2_3_6_2']
"Last month, the Seattle Times ran a glossy, three-part story called "" Sea Change: The Pacific's Perilous Turn "" where it discussed the impacts of ocean acidification resulting from increasing CO2 in the atmosphere. The article made some strong claims that increasing atmospheric CO2 and the resulting acidification of the oceans and coastal waters were causing acute problems today for the shellfish industry in the Northwest. The third part of this series described how oyster larvae grown in Northwest shellfish farms had high mortality in 2005-2009, mortality that the ST blames on CO2-induced acidification of the coastal ocean by the atmosphere.",['0_0_0']
The Houston Chronicle editorial page is one of the most biased in the nation when it comes to climate alarmism and associated public-policy activism. And it maintained that unenviable reputation with last Sunday's Op Ed.,['6_1_2']
"But now that global warming alarm has been rebranded as ""climate change,"" what about a warning posted by Office of Science and Technology Director on the White House website that global warming will cause cold winters to happen with greater regularity?","['1_8_0,', '1_3_0']"
"This is particularly so when one accounts for another form of prior information: theory and models. While some disagreement remains about projections of the weakest storms, which seldom do much damage, both theory and models are now in good agreement that the frequency of high category hurricanes should increase, as should hurricane rainfall and the flooding it produces.",['0_0_0']
"This is complete nonsense. If the absorption of relevant wavelengths is already saturated, there is no mechanism for the Earth to warm in response to  increased levels of greenhouse gases.",['2_3_2']
There has been much alarmist speculation recently that global warming could trigger the collapse of the Gulf Stream.,['6_1_0']
"The U.S. Environmental Protection Agency estimates that, between 1979 and 2003, heat exposure has caused more than the number of mortalities resulting from hurricanes, lightning, tornadoes, floods, and earthquakes combined.",['0_0_0']
"With cap and trade projected to cost an average of 1.15 million jobs annually between 2012 and 2030, this could translate into tens of millions of Americans losing their health insurance coverage.",['4_1_1_2']
"The real discussion here is if you couldn't do it better later on, then maybe you should do it right now, yes. But the point is we expect that all of the costs in complying--for instance, we know, for instance, renewables have been coming down in price about 50 percent per decade. So if we could postpone investing in renewables and make up for it by investing more in them, we at least know there is a backstop technology that would make it much much cheaper to do it in 10, 20, 30 years.",['4_2_10']
"In the mountainous Karakoram region of Asia the glaciers aren't melting. If anything, some are expanding.",['1_1_4']
"However, the strong rise in global temperatures faded after year 2000 and was replaced by a rather steady level or even small decreases in the global temperatures from around 2001 to present (2013). This development took away some of the incitement to cut down on human-induced growth in greenhouse gasses.",['1_4_0']
"Having assessed the relevant scientific evidence, we do not find convincing support for the hypothesis that human emissions of carbon dioxide are causing, or will in the foreseeable future cause, dangerous global warming.",['2_3_0']
"Michael Gooseff follows water to the end of the earth. The Pennsylvania State University hydrologist works in remote regions of the Arctic and Antarctic, where ice and frozen ground are thawing. He expects polar warming and melting to continue at an accelerating pace if no significant reductions are made in climate-changing greenhouse-gas emissions.",['0_0_0']
"Misguided environmental regulations, green obstructionism, and the NIMBY (not in my backyard) syndrome have combined to delay the construction of desperately needed new power plants and transmission lines. Needless economic regulation has prevented the development of more appropriate pricing structures.","['4_1_1,', '4_1_5']"
Scenario 2: The earths temperature increases year-over-year at a rate equal to the observed rise in the temperature observed during the period 1951-2012 (a rate of 0.0107C/decade). This represents a continuation of the observed trend.,['0_0_0']
"Green hypocrisy: Fighting climate change by slaughtering eagles, financed by taxpayers",['4_1_3']
